HPNR,Leistungstyp,Heilmittelbereich,Leistungserbringer,Grundlage,Leistungsart,Leistung,gültig ab,gültig bis,Eigentümer
20504,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Eisanwendung einschl. erforderl. Massagen,1900-01-01,9999-12-31,
60504,Heilmittel,Physiotherapie,Krankenhaus,,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Eisanwendung einschl. erforderl. Massagen,1900-01-01,9999-12-31,
80504,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Eisanwendung einschl. erforderl. Massagen,1900-01-01,9999-12-31,
10505,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Krankengymnastik, normal, EB",Krankengymnastik (Kinder),1900-01-01,9999-12-31,
20505,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Krankengymnastik, normal, EB",Krankengymnastik (Kinder),1900-01-01,9999-12-31,
60505,Heilmittel,Physiotherapie,Krankenhaus,,"Krankengymnastik, normal, EB",Krankengymnastik (Kinder),1900-01-01,9999-12-31,
80505,Heilmittel,Physiotherapie,Leistungserbringer von ambulanten Vorsorgeleistungen in anerkannten Kurorten,,"Krankengymnastik, normal, EB",Krankengymnastik (Kinder),1900-01-01,9999-12-31,
10506,Heilmittel,Physiotherapie,"Masseur, Masseur und med. Bademeister",,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Reizstrom,1900-01-01,9999-12-31,
20506,Heilmittel,Physiotherapie,Krankengymnast/ Physiotherapeut,,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Reizstrom,1900-01-01,9999-12-31,
60506,Heilmittel,Physiotherapie,Krankenhaus,,"Krankengymnastik, normal, EB",Krankengymnastische Behandlung mit Reizstrom,1900-01-01,9999-12-31,
